iso3,country_name,income_level,transport_mass,exposed_mass,sub_only_mass,both_mass,aug_only_mass,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share
NIC,Nicaragua,Lower middle income,23822.0,8329.0,2940.9999999999995,4435.0,952.9999999999998,0.34963479136932246,0.12345730837041388,0.18617244563848542,0.04000503736042313
NLD,Netherlands,High income,23821.0,14019.999999999998,5161.0,7449.0,1409.9999999999998,0.5885563158557574,0.21665757105075353,0.31270727509340496,0.059191469711599
NOR,Norway,High income,23822.0,13735.999999999998,5144.0,7253.999999999999,1337.9999999999998,0.5766098564352279,0.21593485013852742,0.3045084375787087,0.05616656871799176
NPL,Nepal,Lower middle income,23822.0,5768.999999999999,2003.9999999999998,3434.9999999999995,330.0,0.24217110234237255,0.08412391906640919,0.14419444211233312,0.013852741163630257
NZL,New Zealand,High income,23822.0,13032.0,4635.0,7184.999999999999,1211.9999999999998,0.5470573419528167,0.19456804634371588,0.3016119553354042,0.05087734027369657
OMN,Oman,High income,23822.0,13870.999999999998,4469.999999999999,7029.999999999999,2371.0,0.5822768869112585,0.18764167576190072,0.2951053647888506,0.09952984636050709
PAK,Pakistan,Lower middle income,23822.0,9096.0,3062.9999999999995,5430.999999999999,602.0,0.3818319200738813,0.12857862480060447,0.22798253715053307,0.02527075812274368
PER,Peru,Upper middle income,23822.0,11055.0,3732.9999999999995,6491.999999999999,829.9999999999999,0.4640668289816136,0.1567038871631265,0.27252119889178067,0.0348417429267064
PHL,Philippines,Lower middle income,23822.0,11207.0,3863.9999999999995,6495.999999999999,846.9999999999999,0.4704474855175888,0.16220300562505247,0.27268911090588527,0.03555536898665099
PNG,Papua New Guinea,Lower middle income,23822.0,3436.9999999999995,1387.9999999999998,1746.0,303.0,0.14427839811938542,0.05826546889429938,0.07329359415666191,0.012719335068424147
POL,Poland,High income,23820.0,13063.999999999998,4780.0,7133.0,1151.0,0.5484466834592778,0.20067170445004198,0.2994542401343409,0.04832073887489505
PRI,Puerto Rico (US),High income,23822.0,14876.999999999998,4721.0,7506.999999999999,2649.0,0.6245067584585676,0.19817815464696498,0.31512887247082527,0.11119973134077743
PRT,Portugal,High income,23822.0,13012.999999999998,4694.0,7156.999999999999,1162.0,0.5462597598858198,0.19704474855175888,0.30043657123667195,0.04877844009738897
PRY,Paraguay,Upper middle income,23822.0,11307.0,3736.9999999999995,5764.0,1806.0,0.474645285870204,0.15687179917723112,0.24196121232474183,0.07581227436823104
QAT,Qatar,High income,23822.0,12630.0,4576.0,6935.999999999999,1118.0,0.5301821845353035,0.19209134413567291,0.2911594324573923,0.04693140794223827
ROU,Romania,High income,23822.0,12541.999999999998,4619.0,6838.999999999999,1083.9999999999998,0.526488120225002,0.19389639828729746,0.2870875661153555,0.04550415582234908
