iso3,ilostat_year,country_name,income_level,matched_weight,employment_weighted_occ_exposed_share,employment_weighted_occ_sub_only_share,employment_weighted_occ_both_share,employment_weighted_occ_aug_only_share,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share,employment_weighting_adjustment
RUS,2024,Russian Federation,High income,1.0,0.5414773129308773,0.23107690016886598,0.2761124705979766,0.03428794216403473,0.5440231767225091,0.20888441029516733,0.29491539656547844,0.04022336986186337,-0.002545863791631797
RWA,2024,Rwanda,Low income,1.0,0.21591048269516308,0.0915376828423079,0.10435107138441373,0.020021728468441448,0.3048862396104441,0.09323314583158425,0.1669884980270338,0.04466459575182604,-0.088975756915281
SDN,2022,Sudan,Low income,0.967509378552091,0.12080570793370758,0.06183482760920657,0.054890705778879396,0.004080174545621602,0.17425069263705817,0.07686172445638484,0.09126017966585509,0.006128788514818235,-0.05344498470335059
SEN,2024,Senegal,Lower middle income,0.978156386655552,0.26977133046107427,0.10599692822462503,0.14127496282226568,0.022499439414183572,0.3267567794475694,0.09306523381747962,0.19066409201578374,0.043027453614306106,-0.05698544898649516
SGP,2024,Singapore,High income,1.0,0.6323024619505198,0.24149674855778153,0.3364384672457078,0.054367246147030465,0.6063061550088168,0.22428415484087666,0.3265597447308758,0.05546225543706441,0.025996306941702962
SLE,2018,Sierra Leone,Low income,0.9947554158670203,0.07197286163284553,0.032712882554027566,0.03161370263763396,0.0076462764411839934,0.11648895978507261,0.04600789186466292,0.05818151288724708,0.012299555033162622,-0.04451609815222708
SLV,2024,El Salvador,Upper middle income,0.9937526425343717,0.4118980332594663,0.19152809660342174,0.18617352389224484,0.034196412763799665,0.4700696834858533,0.15922256737469564,0.24485769456804635,0.0659894215431114,-0.05817165022638704
SOM,2019,"Somalia, Fed. Rep.",Low income,0.9769678557504121,0.11008879138332245,0.05107711779220779,0.05171474832357027,0.0072969252675443835,0.1334900512131643,0.05574678868273024,0.06813029972294517,0.009612962807488875,-0.02340125982984184
SRB,2024,Serbia,Upper middle income,0.9947536261701471,0.5806563841953873,0.22702298452468822,0.2768625152869343,0.0767708843837648,0.5889933674754428,0.18755771975484847,0.2988414071026782,0.1025942406179162,-0.008336983280055499
SWE,2024,Sweden,High income,0.9963652599306596,0.5853941902157166,0.22396259459261406,0.30536076852095007,0.0560708271021525,0.5903422212891035,0.2222548813772832,0.31026663867310517,0.0578207012387151,-0.004948031073386927
TCD,2022,Chad,Low income,0.9898545504229341,0.05507975503707551,0.02515307216503045,0.026272988933240794,0.0036536939388042556,0.09457644194442112,0.043615145663672236,0.045588111829401395,0.005373184451347494,-0.03949668690734561
TGO,2022,Togo,Low income,0.9966065578596456,0.14435017335070838,0.05723210319996879,0.06681400591523293,0.02030406423550665,0.21354210393753673,0.07824699857274788,0.11241709344303583,0.022878011921753,-0.06919193058682835
THA,2024,Thailand,Upper middle income,0.998337176276877,0.49274552391297083,0.21535853957816625,0.2544612968199972,0.022925687514807374,0.5120476870120058,0.18533288556796237,0.28490470993199557,0.04181009151204768,-0.01930216309903493
TJK,2016,Tajikistan,Lower middle income,0.9967553278664987,0.24825058511337939,0.12608713531095384,0.10537244953727654,0.01679100026514901,0.2999328351943581,0.11871379397195868,0.15002938460246829,0.031189656619931155,-0.05168225008097871
TUN,2021,Tunisia,Lower middle income,1.0,0.45823888831133935,0.19696833979675366,0.22142675012649382,0.03984379838809183,0.5037780203173537,0.15544454705734193,0.2757535051632944,0.07257996809671731,-0.04553913200601439
TZA,2024,Tanzania,Lower middle income,0.9997230214302019,0.15570576764854407,0.06595426141456673,0.08564628179578399,0.004105224438193356,0.23171857946436067,0.08399798505583074,0.13789774158341028,0.009822852825119636,-0.0760128118158166
UGA,2021,Uganda,Low income,0.9972818506209855,0.12903403091411111,0.04542373738504597,0.07091917275904086,0.012691120770024258,0.20972210561665683,0.07476282428007723,0.12509445050793383,0.009864830828645789,-0.08068807470254571
VNM,2024,Viet Nam,Lower middle income,0.9942578908972477,0.4596373261099408,0.22033213636103033,0.2215433567061996,0.017761833042710874,0.48472000671648047,0.17215179246075057,0.2764251532197129,0.036143061036017124,-0.025082680606539676
ZMB,2024,Zambia,Lower middle income,0.9963873527021423,0.1883840340626197,0.07289455158085405,0.10864567718076734,0.0068438053009983,0.26464044330632636,0.09558792661936946,0.15372990218714577,0.015322614499811088,-0.07625640924370666
ZWE,2024,Zimbabwe,Lower middle income,0.998647756760912,0.24373229033572796,0.09157167388248243,0.12426767043176844,0.027892946021477114,0.31705986063302827,0.10041138443455627,0.17748299890857192,0.039165477289900094,-0.0733275702973003
