iso3,country_name,income_level,internet_users_pct,log_gdp_per_capita,prep_internet,pizzinelli_mechanical,atlas_ai_mat_mean,atlas_pred_from_mech,residual
LKA,Sri Lanka,Lower middle income,51.2,8.415286232743277,0.512,0.32184546862238894,0.2881748307863197,0.19724660780172726,0.09092822298459247
SDN,Sudan,Low income,26.4383,6.892243249201768,0.26438300000000003,0.1661923252554552,0.06816526351092154,0.08184872327535198,-0.01368345976443043
SWE,Sweden,High income,95.5293,10.952865613974476,0.9552930000000001,0.6005014126107183,0.4463338760169338,0.4038361167019663,0.04249775931496752
CHE,Switzerland,High income,97.3444,11.55212874225616,0.973444,0.6119112116360406,0.43065069881769846,0.41229509569790856,0.0183556031197899
SYR,Syrian Arab Republic,Low income,34.65,6.8642689716043055,0.3465,0.2178114353079253,0.05553534885537347,0.1201180185323511,-0.06458266967697762
TJK,Tajikistan,Lower middle income,56.791,7.201321722223127,0.5679099999999999,0.3569907423541814,0.13246446937747897,0.22330255599538779,-0.09083808661790882
TZA,Tanzania,Lower middle income,29.0638,7.047520072993236,0.290638,0.18269633458881615,0.1073645423759333,0.09408443995974755,0.013280102416185754
THA,Thailand,Upper middle income,90.8672,8.901995652630735,0.9086719999999999,0.5711952454375847,0.3603493947985039,0.3821091562166032,-0.021759761418099266
TGO,Togo,Low income,37.0223,7.020531673495986,0.370223,0.23272381822223964,0.09650156217126597,0.13117373770599106,-0.03467217553472508
TUN,Tunisia,Lower middle income,72.3542,8.33833871168147,0.723542,0.4548217071444932,0.32597130302450006,0.2958323240024666,0.03013897902203344
TUR,Turkiye,Upper middle income,87.3079,9.67361615296566,0.873079,0.5488213279284506,0.3836621177691216,0.3655216161690812,0.018140501600040437
UGA,Uganda,Low income,8.94983,6.982781843305583,0.0894983,0.056259027938295215,0.0971845455120695,0.00034654686569596943,0.09683799864637352
UKR,Ukraine,Upper middle income,82.3755,8.524772158562127,0.823755,0.517816042978586,0.3489326243053865,0.342534966397947,0.0063976579074395135
ARE,United Arab Emirates,High income,100.0,10.825233498574942,1.0,0.6286044309031034,0.4162869438404946,0.4246710885476823,-0.008384144707187735
GBR,United Kingdom,High income,96.2988,10.882684867433001,0.962988,0.6053385237065176,0.44077921533589143,0.40742224657766324,0.03335696875822819
USA,United States,High income,93.1444,11.34490958173981,0.931444,0.5855098255381103,0.45738602628200464,0.3927216772730518,0.06466434900895285
UZB,Uzbekistan,Lower middle income,89.0136,8.058865170238246,0.8901359999999999,0.5595434337063647,0.22085130232067782,0.373470754218433,-0.1526194518977552
VNM,Viet Nam,Lower middle income,84.15,8.45898982205734,0.8415,0.5289706286049615,0.32909579154602703,0.35080473568244896,-0.021708944136421937
YEM,"Yemen, Rep.",Low income,13.8152,6.277380468085756,0.138152,0.08684295933812554,0.053142883029000276,0.023020814199444885,0.03012206882955539
ZMB,Zambia,Lower middle income,33.0,7.079276583705229,0.33,0.20743946219802412,0.1243624920721939,0.11242846129401451,0.01193403077817938
ZWE,Zimbabwe,Lower middle income,38.4266,7.822926713511721,0.384266,0.2415513102454119,0.15654805150732745,0.13771824996647353,0.018829801540853924
