support,domain,iso3,country_name,income_level,margin,total_gap_pp,reference_profile_pp,country_specific_pp,identity_error_pp
Figure 5 sex-specific support,Industry (ISIC-2),POL,Poland,High income,Substitution-only,-1.6693454271762427,-0.369869519432463,-1.2994759077437814,1.7763568394002505e-15
Figure 5 sex-specific support,Industry (ISIC-2),PRT,Portugal,High income,Augmentation-only,-0.4100940271059576,-0.8252342549103431,0.4151402278043856,-1.1102230246251565e-16
Figure 5 sex-specific support,Industry (ISIC-2),PRT,Portugal,High income,Overall exposure,-4.960204866151617,-2.9512291520351437,-2.0089757141164704,-3.1086244689504383e-15
Figure 5 sex-specific support,Industry (ISIC-2),PRT,Portugal,High income,Substitution-only,-3.1064240063478397,-1.4117363725837972,-1.6946876337640393,-3.1086244689504383e-15
Figure 5 sex-specific support,Industry (ISIC-2),ROU,Romania,High income,Augmentation-only,-1.1563510362317366,-1.144279731678522,-0.01207130455321511,5.204170427930421e-16
Figure 5 sex-specific support,Industry (ISIC-2),ROU,Romania,High income,Overall exposure,4.9964315250653515,3.4277167877166956,1.5687147373486596,-3.774758283725532e-15
Figure 5 sex-specific support,Industry (ISIC-2),ROU,Romania,High income,Substitution-only,3.109031075581177,3.6141255396213996,-0.5050944640402244,1.9984014443252818e-15
Figure 5 sex-specific support,Industry (ISIC-2),RWA,Rwanda,Low income,Augmentation-only,-0.26578999943014653,-0.8291148757474793,0.563324876317333,-1.1102230246251565e-16
Figure 5 sex-specific support,Industry (ISIC-2),RWA,Rwanda,Low income,Overall exposure,-0.3768530657769754,1.596490675698951,-1.9733437414759274,1.1102230246251565e-15
Figure 5 sex-specific support,Industry (ISIC-2),RWA,Rwanda,Low income,Substitution-only,-0.642663868820939,1.8521663571717795,-2.4948302259927186,4.440892098500626e-16
Figure 5 sex-specific support,Industry (ISIC-2),SEN,Senegal,Lower middle income,Augmentation-only,-1.1710560748912855,-0.7217991821795493,-0.4492568927117363,1.1102230246251565e-16
Figure 5 sex-specific support,Industry (ISIC-2),SEN,Senegal,Lower middle income,Overall exposure,1.8512941949681234,2.9778688309291366,-1.1265746359610143,1.1102230246251565e-15
Figure 5 sex-specific support,Industry (ISIC-2),SEN,Senegal,Lower middle income,Substitution-only,1.6529398606383543,3.076992637495079,-1.4240527768567284,3.552713678800501e-15
Figure 5 sex-specific support,Industry (ISIC-2),SGP,Singapore,High income,Augmentation-only,-0.4948296101340417,-0.5091999533010463,0.01437034316700472,-1.3530843112619095e-16
Figure 5 sex-specific support,Industry (ISIC-2),SGP,Singapore,High income,Overall exposure,-3.5147623585663617,-2.67998890529039,-0.8347734532759717,1.1102230246251565e-16
Figure 5 sex-specific support,Industry (ISIC-2),SGP,Singapore,High income,Substitution-only,-1.879320070791256,-1.2301000484896936,-0.6492200223015632,6.661338147750939e-16
Figure 5 sex-specific support,Industry (ISIC-2),SLV,El Salvador,Upper middle income,Augmentation-only,-1.3947215703563973,-1.0015458960345143,-0.393175674321882,-1.0547118733938987e-15
Figure 5 sex-specific support,Industry (ISIC-2),SLV,El Salvador,Upper middle income,Overall exposure,5.895480809877067,2.516623337198463,3.378857472678602,1.7763568394002505e-15
Figure 5 sex-specific support,Industry (ISIC-2),SLV,El Salvador,Upper middle income,Substitution-only,5.110524573297126,3.693238922256945,1.4172856510401828,-1.7763568394002505e-15
Figure 5 sex-specific support,Industry (ISIC-2),SRB,Serbia,Upper middle income,Augmentation-only,-1.2602484754295475,-0.8093158893477006,-0.4509325860818481,1.1657341758564144e-15
Figure 5 sex-specific support,Industry (ISIC-2),SRB,Serbia,Upper middle income,Overall exposure,-0.5933676964846252,-0.04631131025658189,-0.5470563862280456,2.3314683517128287e-15
