support,domain,income_level,margin,countries,mean_total_gap_pp,mean_reference_profile_pp,mean_country_specific_pp,median_total_gap_pp,median_reference_profile_pp,median_country_specific_pp,share_reference_same_sign_as_total,share_country_specific_offsets_reference,total_ci_low,reference_profile_ci_low,country_specific_ci_low,total_ci_high,reference_profile_ci_high,country_specific_ci_high,additive_mean_error_pp
Figure 5 support; employment-weighted reference,Occupation (ISCO-2),Lower middle income,Augmentation-only,26,0.07277430391773887,0.010819382000843588,0.06195492191689532,-0.024480377248613537,-0.08092778523420091,0.09812346373803595,0.8846153846153846,0.5384615384615384,-0.10425287373318214,-0.16756932011604658,-0.08585587029176502,0.2807047369937948,0.2158165295563168,0.2021816491544394,-4.163336342344337e-17
Figure 5 support; employment-weighted reference,Occupation (ISCO-2),Lower middle income,Overall exposure,26,2.9221983130300067,2.0452890297723916,0.8769092832576152,3.775263421473979,2.810338755823595,0.8197900133446725,0.9615384615384616,0.34615384615384615,1.7631745708421382,0.7157814534231852,0.4569031579508932,4.100046432910444,3.3706824071205057,1.3275696345198371,-1.1102230246251565e-16
Figure 5 support; employment-weighted reference,Occupation (ISCO-2),Lower middle income,Substitution-only,26,1.7015420822311296,1.667464651069459,0.034077431161670724,2.204029855046783,2.780544154783188,-0.14678017354897277,0.9230769230769231,0.7692307692307693,0.5261940010389482,0.13255664017161375,-0.42191540496162777,2.740240369648141,3.0462036608872363,0.5113749352434483,-2.220446049250313e-16
Figure 5 support; employment-weighted reference,Occupation (ISCO-2),Upper middle income,Augmentation-only,16,-0.007201736629508661,0.1942220308067061,-0.20142376743621476,-0.041265924839758536,0.014052843584472677,-0.07002324182664695,0.8125,0.4375,-0.1908162777941974,-0.070619559987425,-0.48390334507506355,0.21431804475272725,0.5327763849057385,0.011675333865910058,0
Figure 5 support; employment-weighted reference,Occupation (ISCO-2),Upper middle income,Overall exposure,16,2.5325700821181854,2.7683037034452083,-0.2357336213270233,2.1111567529530433,2.5033424799300175,-0.2835833008984112,0.9375,0.5625,1.455535888190666,1.8465441625312522,-0.6841427117912148,3.662669473790872,3.686354593461697,0.1750327748207193,3.885780586188048e-16
Figure 5 support; employment-weighted reference,Occupation (ISCO-2),Upper middle income,Substitution-only,16,1.853800697796419,2.0194895386934713,-0.16568884089705269,2.086815561516749,2.3419180686185967,-0.37196208401110104,1,0.6875,0.5138302850330901,0.5841327361448753,-0.4192723096077952,2.9951013254772745,3.2557047106816848,0.16153812997549657,4.163336342344337e-16
Figure 5 support; employment-weighted reference,Occupation (ISCO-2),High income,Augmentation-only,32,-0.1539200782404529,-0.11790720307680064,-0.03601287516365233,-0.1475549395057698,-0.08004211015041018,-0.06059357760404087,0.875,0.25,-0.27366156459480223,-0.20441573021841505,-0.1002700082817488,-0.030271824781520774,-0.03511098620970003,0.037000475406100714,6.938893903907228e-17
Figure 5 support; employment-weighted reference,Occupation (ISCO-2),High income,Overall exposure,32,-0.010702410559441312,1.4553823963155827,-1.4660848068750236,0.3815300454191882,1.5293539926049498,-1.5431074598243493,0.8125,0.6875,-0.8816582128920878,0.7443268775223262,-1.7471591028858098,0.8199114931894241,2.1328616853516538,-1.1893220189364377,-4.440892098500626e-16
Figure 5 support; employment-weighted reference,Occupation (ISCO-2),High income,Substitution-only,32,2.080014451001684,2.4424057748345653,-0.3623913238328819,2.238471129250292,2.6799406310162004,-0.40816944238564923,0.875,0.65625,1.3994636826188576,1.909170954091463,-0.5696803233708964,2.7179471394393175,2.9549834504663677,-0.15304937135313748,3.885780586188048e-16
Figure 5 support; employment-weighted reference,Industry (ISIC-2),Low income,Augmentation-only,4,-0.34386044586624726,-0.7646801483125487,0.42081970244630146,-0.14954831722011203,-0.5506661705544511,0.40111785333433886,0.75,1,-0.8511675002823988,-1.4397951525827388,0.2916164433253827,0.007068002335831724,-0.3035791218004563,0.5527797889170196,0
