iso3,country_name,income_level,AI_PI,DI,HCLMP,IEI,RE,ai_material_share,llm_like_share,mean_exposure,aipi_predicted_atlas,residual
DNK,Denmark,High income,0.7785222530365,0.20180732011795,0.17677499353886,0.18168471753597,0.21825522184372,0.4524126190349524,0.2569558972176411,1.6022769590892163,0.5253323629357319,-0.07291974390077954
DOM,Dominican Republic,Upper middle income,0.46881140768528,0.092551022768021,0.12067542970181,0.13091138005257,0.12467357516289,0.3304782678086929,0.24009150396339843,1.243655902537639,0.27412983051597783,0.05634843729271505
DZA,Algeria,Upper middle income,0.3704386651516,0.082907736301422,0.13887116312981,0.074606649577618,0.07405311614275,0.25525349789860086,0.20285151885939245,1.1955631217747513,0.19434094867196805,0.060912549226632806
ECU,Ecuador,Upper middle income,0.4420759677887,0.10049203783274,0.12081720679998,0.092175871133804,0.12859085202217,0.3538330584667766,0.25041229983508007,1.2714794914082035,0.2524450548350975,0.1013880036316791
EGY,"Egypt, Arab Rep.",Lower middle income,0.39405445754528,0.091216824948788,0.11584154516459,0.10302583873272,0.083970248699188,0.31281587487365003,0.22604670958131617,1.2836622865350853,0.21349541789200505,0.09932045698164499
ESP,Spain,High income,0.64833119511604,0.16955207288265,0.14982847869396,0.15794710814953,0.1710035353899,0.4224303043200681,0.2563311342838902,1.5254841455628858,0.41973604966830697,0.002694254651761152
ETH,Ethiopia,Not classified,0.25359724834561,0.051120802760124,0.06193008646369,0.069385670125484,0.071160688996315,0.09304676278129488,0.12619034952386018,0.7179869128052349,0.09957235973252644,-0.00652559695123156
FIN,Finland,High income,0.75801736116409,0.18607866764069,0.1681006103754,0.17339795827866,0.23044012486935,0.43714422514230994,0.25642389743044103,1.5861573655370538,0.5087011056108508,-0.07155688046854086
FRA,France,High income,0.69750864803791,0.18178890645504,0.1621610969305,0.17228455841541,0.18127408623695,0.43764630772504787,0.25782081293892317,1.5474569057246224,0.45962325703399615,-0.02197694930894828
GBR,United Kingdom,High income,0.73094530403614,0.18156261742115,0.1732160449028,0.16298899054527,0.21317765116692,0.4431026227589509,0.26514869394052243,1.5654625738149706,0.48674330396964166,-0.04364068121069076
GHA,Ghana,Lower middle income,0.42519968003035,0.088655404746532,0.11373325437307,0.088968478143215,0.13384254276752,0.14890674043730381,0.16071713571314572,0.87498005000798,0.2387569122131158,-0.08985017177581198
GIN,Guinea,Lower middle income,0.32352608814836,0.055005077272654,0.11629898846149,0.07930101454258,0.072921007871628,0.049422780230887906,0.08091716763313295,0.47534180986327607,0.15629075339325044,-0.10686797316236253
GRC,Greece,High income,0.58197875320911,0.15350794792175,0.13510471582413,0.15433019399643,0.1390358954668,0.38155024737990106,0.24855030057987976,1.43767622492951,0.36591842691004156,0.015631820469859503
GTM,Guatemala,Upper middle income,0.39010570943356,0.077027454972267,0.10476835817099,0.11577283591032,0.092537060379982,0.2644038942384423,0.21109751556099376,1.0893227642708943,0.21029263845938,0.054111255779062284
HKG,"Hong Kong SAR, China",High income,0.70056740939617,0.19949550926685,0.16099612414837,0.17478720843792,0.16528856754303,0.4154386338245465,0.25243389902644037,1.5238069904772038,0.46210417951635624,-0.04666554569180975
HND,Honduras,Lower middle income,0.34181183204055,0.057422515004873,0.11314020305872,0.092143476009369,0.079105637967587,0.2425387029845188,0.206203117518753,1.055647177741129,0.17112208798112427,0.07141661500339452
HRV,Croatia,High income,0.58169589936733,0.17218679189682,0.12623111903667,0.13978588581085,0.14349210262299,0.4525190189923924,0.27483109006756395,1.4798638080544768,0.365689007752055,0.0868300112403374
HTI,Haiti,Lower middle income,0.2682539857924,0.032914455980062,0.056107997894287,0.14014787971973,0.039083652198315,0.07235197105921158,0.0993775602489759,0.4902378039048784,0.11146025329166169,-0.03910828223245011
HUN,Hungary,High income,0.5629620552063,0.15964402258396,0.12633982300758,0.13957384228706,0.13740436732769,0.38612544554982176,0.2467947012821195,1.4680002127999148,0.3504942247283251,0.03563122082149667
IDN,Indonesia,Upper middle income,0.51630328595638,0.1195926964283,0.13011275231838,0.10582709312439,0.16077074408531,0.32939611598829477,0.23330673051343442,1.3105081138600692,0.3126498896942155,0.01674622629407929
IND,India,Lower middle income,0.49250310659409,0.10598836839199,0.12388407438993,0.1108129248023,0.15181773900986,0.37351705059317974,0.2474863010054796,1.380752247699101,0.2933458665461993,0.08017118404698043
IRL,Ireland,High income,0.69312816858292,0.17218072712421,0.17386642098427,0.15802650153637,0.18905451893806,0.41660903335638666,0.2542958982816407,1.5169441932223227,0.4560703057931111,-0.039461272436724426
IRN,"Iran, Islamic Rep.",Upper middle income,0.37832589447498,0.11856913566589,0.10809991508722,0.087237194180489,0.064419649541378,0.26206309517476195,0.20178751928499228,1.2451987019205193,0.20073818018499934,0.06132491498976261
IRQ,Iraq,Upper middle income,0.26983634382486,0.065998829901218,0.10627111792564,0.036030597984791,0.06153579801321,0.16210033515986594,0.16119593552162578,0.9449380220247912,0.11274368379115847,0.04935665136870747
