spec,outcome,variable,mean_abs_shap,mean_abs_shap_sd,mean_shap,median_shap,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,mean_abs_shap_ci,direction_flag,mean_abs_shap_share
main68,substitution_within_exposed,goods_trade_openness,0.0006134896790269952,5.6847942812732466e-05,3.755927761623752e-05,-5.781487053968647e-05,-0.0028218280694754586,0.0006875217743257791,0.0,1.0,0.00011142196791295564,negative,0.03424211805175085
main68,substitution_within_exposed,gross_fixed_capital_formation_pct_gdp,0.0011219954137772167,0.0001051297051102828,3.1359874473993844e-05,0.00041601223866442264,0.0041913500134693185,0.00016093379412547397,1.0,0.0,0.0002060542220161543,positive,0.06262452446309523
main68,substitution_within_exposed,internet_users_pct,0.0026740978866013503,3.83070381582695e-05,-0.00016980826652601173,0.0006061034395952839,-0.002099269941415585,0.0012204091580112792,0.0,1.0,7.508179479020821e-05,negative,0.14925560876617733
main68,substitution_within_exposed,log_gdp_per_capita,0.002752228159302562,0.00019541134609061522,0.0003098660876798441,0.0010702673585362775,-0.00921432775516037,0.0009714945355944686,0.0,1.0,0.0003830062383376058,negative,0.15361647434014022
main68,substitution_within_exposed,pwt_human_capital_index,0.002228071642747933,0.00014997821439657096,-0.00014735650387921701,0.0008579640701935106,-0.004506719348032298,0.0014534239012710364,0.0,1.0,0.00029395730021727906,negative,0.1243605146540306
main68,substitution_within_exposed,pwt_log_real_capital_stock_per_worker,0.002257578121523612,9.514027555721404e-05,3.134874565340113e-05,-0.0006666038320578297,-0.006451791643219233,0.0003616205415475377,0.0,1.0,0.0001864749400921395,negative,0.12600742798292433
main68,substitution_within_exposed,wgi_government_effectiveness_score,0.0023161230443719395,0.00016945842475206944,-0.00014134527735185136,0.000692345414616,-0.001987627131310708,0.0012761322244807846,0.2,0.8,0.0003321385125140561,negative,0.12927513113757652
main68,substitution_within_exposed,wgi_regulatory_quality_score,0.0026494036566576356,0.00013277058375282791,0.00022219268087867423,-0.0010174150427236569,-0.013553708498433454,0.0011137239146631164,0.0,1.0,0.0002602303441555427,negative,0.14787729260889354
main68,both_within_exposed,barro_lee_years_schooling_15_64,0.0011280006330824529,6.813055174859737e-05,-0.00017130024486582422,-0.0007233059137045549,-0.0018097604478416076,0.00030958208113464537,0.0,1.0,0.00013353588142725085,negative,0.07581376517024799
main68,both_within_exposed,goods_trade_openness,0.00039514096671324823,3.0022995699296737e-05,-3.67449271189453e-05,-9.045113417617322e-05,0.001384503441360098,0.0005111003049775082,1.0,0.0,5.8845071570621605e-05,positive,0.026557719544607044
main68,both_within_exposed,gross_fixed_capital_formation_pct_gdp,0.00028033465305478297,3.607560506211653e-05,4.463298550597631e-06,1.1085805892862022e-05,-0.000676455351830693,0.00014003093597579036,0.0,1.0,7.070818592174839e-05,negative,0.018841501442867295
main68,both_within_exposed,internet_users_pct,0.0011888587529648082,0.00011383623416969625,3.137306071594768e-05,-0.00026745497445362736,-0.0002824314982012531,0.00015867141050708564,0.0,1.0,0.00022311901897260463,negative,0.07990408486878882
main68,both_within_exposed,log_gdp_per_capita,0.00357417005774525,0.00013146679640870646,0.00010611634828221021,-0.0021465640675865085,-0.0013353428776379716,0.001236471808722701,0.2,0.8,0.0002576749209610646,negative,0.24022263949972716
main68,both_within_exposed,pwt_human_capital_index,0.001241206612697046,8.842161151369989e-05,-0.00010282290700112004,-0.0005887409586451883,-0.0012820537307245369,0.0004221233801795943,0.0,1.0,0.0001733063585668518,negative,0.08342242362544346
