spec,outcome,variable,permutation_importance_mean,permutation_importance_sd,baseline_r2_mean,baseline_r2_sd,permutation_importance_ci,permutation_importance_share_positive,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,direction_flag
lean90,both_share,wgi_government_effectiveness_score,0.09949666749582979,0.011815933197308942,0.9454015238304043,0.0,0.023159229066725528,0.17067454245555724,0.04564809259900835,0.0014708814278585473,1.0,0.0,positive
lean90,both_share,wgi_regulatory_quality_score,0.044194504913995354,0.006335976305929474,0.9454015238304043,0.0,0.012418513559621768,0.07581034717129775,0.026628462475059247,0.001532983558590085,1.0,0.0,positive
lean90,both_share,internet_users_pct,0.1795026652404379,0.016917252136504468,0.9454015238304043,0.0,0.033157814187548755,0.3079151898303415,0.056515021461458,0.0022882002589410208,1.0,0.0,positive
lean90,both_share,goods_trade_openness,0.002067670325797115,0.00029489027947020627,0.9454015238304043,0.0,0.0005779849477616043,0.0035468392629245263,0.002063515484536534,0.00038358636498951186,1.0,0.0,positive
lean90,augmentation_share,log_gdp_per_capita,0.24679649405945497,0.04191128055292975,0.8022766126240408,0.0,0.08214610988374231,0.41553297493889335,0.01792176828461985,0.0003054299201229677,1.0,0.0,positive
lean90,augmentation_share,barro_lee_years_schooling_15_64,0.05533783813731152,0.013391132077513853,0.8022766126240408,0.0,0.02624661887192715,0.09317270326516236,0.0067776476181070746,0.00035665373342157707,1.0,0.0,positive
lean90,augmentation_share,wgi_government_effectiveness_score,0.07013901448010346,0.012989932741502586,0.8022766126240408,0.0,0.02546026817334507,0.1180935469009469,0.005910668528654519,0.0004743464339767367,1.0,0.0,positive
lean90,augmentation_share,wgi_regulatory_quality_score,0.10730661467262471,0.01689733439275727,0.8022766126240408,0.0,0.03311877540980425,0.18067289405981332,0.008891825004360471,0.0005192521476070428,1.0,0.0,positive
lean90,augmentation_share,internet_users_pct,0.09541221497893716,0.01663601566253843,0.8022766126240408,0.0,0.03260659069857533,0.1606462105014984,0.005420021830880906,0.00021808425141331633,1.0,0.0,positive
lean90,augmentation_share,goods_trade_openness,0.01893540329565908,0.004462984630861959,0.8022766126240408,0.0,0.00874744987648944,0.031881670333685615,0.001335274419149997,0.00017713857237500695,1.0,0.0,positive
lean90,substitution_within_exposed,log_gdp_per_capita,0.22154966339320292,0.02923417641045532,0.7049731330695275,0.0,0.057298985764492424,0.3333659999232298,-0.03094022706490778,0.0012888121788734528,0.0,1.0,negative
lean90,substitution_within_exposed,barro_lee_years_schooling_15_64,0.07968731890143602,0.012887339016922982,0.7049731330695275,0.0,0.025259184473169043,0.11990558839004545,-0.014644472397427288,0.0010748212151799877,0.0,1.0,negative
lean90,substitution_within_exposed,wgi_government_effectiveness_score,0.16320945764308836,0.03083825579927582,0.7049731330695275,0.0,0.060442981366580606,0.24558143402616162,-0.021752909596042338,0.0012349664342953663,0.0,1.0,negative
lean90,substitution_within_exposed,wgi_regulatory_quality_score,0.06662394322162384,0.01253193824278415,0.7049731330695275,0.0,0.024562598955856933,0.10024911394916847,-0.009690589479529901,0.00043784039590048475,0.0,1.0,negative
lean90,substitution_within_exposed,internet_users_pct,0.11303007799373559,0.015885031884346958,0.7049731330695275,0.0,0.031134662493320038,0.170076471318793,-0.006345704682484184,0.001156849489385228,0.0,1.0,negative
lean90,substitution_within_exposed,goods_trade_openness,0.02048339996119368,0.003923655251119754,0.7049731330695275,0.0,0.007690364292194718,0.030821392392601905,-0.002094009000134615,0.0004639145065153257,0.0,1.0,negative
lean90,both_within_exposed,log_gdp_per_capita,0.2823514219353445,0.03542015695940218,0.6472873088202813,0.0,0.06942350764042826,0.37616936250756183,0.014415678488859949,0.0011825105967248058,1.0,0.0,positive
lean90,both_within_exposed,barro_lee_years_schooling_15_64,0.12780389330530173,0.017845638466932545,0.6472873088202813,0.0,0.034977451395187785,0.17026976078643116,0.006464529157335425,0.0003270752512851181,1.0,0.0,positive
lean90,both_within_exposed,wgi_government_effectiveness_score,0.12096334787096266,0.021600280091570803,0.6472873088202813,0.0,0.04233654897947877,0.1611562822793933,0.010658540087213907,0.0004155097377427669,1.0,0.0,positive
