iso3,mean_task_exposure_old,substitution_share_old,augmentation_share_old,n_country_task_rows,n_unique_tasks,mean_task_exposure_clean,share_exposed_clean,substitution_share_clean,both_share_clean,augmentation_share_clean,level1_augment_share,economic_exposed_flag_mismatch_share,mean_task_exposure_delta_clean_minus_old,substitution_share_delta_clean_minus_old,augmentation_share_delta_clean_minus_old
BFA,0.4759129596243344,0.0527441197434069,0.0128715777116263,18797,18797,0.48098100760759693,0.14278874288450286,0.05718997712400915,0.07554396978241208,0.010054795978081609,0.0025003989998404,0.0,0.005068047983262547,0.0044458573806022555,-0.002816781733544691
BGD,0.971615445893254,0.113412435537294,0.0176512515198524,18797,18797,0.9677608128956748,0.33308506676597327,0.11831675267329893,0.1968399212640315,0.017928392828642867,5.319997872000851e-05,0.0,-0.003854632997579155,0.004904317136004921,0.000277141308790467
BGR,1.4870236048802985,0.1955473565049683,0.1025114250974802,18797,18797,1.480821407671437,0.5921689631324147,0.2011491195403522,0.30292067883172846,0.0880991647603341,0.012501994999202,0.0,-0.006202197208861504,0.0056017630353839,-0.014412260337146099
BLR,1.4333151649826004,0.2017525470630162,0.080332061548782,18797,18797,1.4284194286322285,0.5692929722828111,0.20599031760387296,0.29371708251316697,0.06958557216577113,0.009735596105761558,0.0,-0.004895736350371882,0.00423777054085675,-0.010746489383010871
BOL,0.988889354744036,0.1134962894637541,0.0482160077145612,18797,18797,0.9843592062563175,0.3643666542533383,0.11767835292865883,0.20396871841251263,0.042719582912166834,0.005160397935840826,0.0,-0.004530148487718599,0.004182063464904726,-0.005496424802394366
BRA,1.4769972740616482,0.1987838121199412,0.0442021388131683,18791,18791,1.469533287211963,0.5355223245170561,0.20334202543770954,0.28907455696876166,0.043105742110584856,0.00021286786227449312,0.0,-0.007463986849685078,0.004558213317768345,-0.0010963967025834423
CAN,1.56128139544635,0.2044530168979831,0.0524969600402532,18795,18795,1.553338653897313,0.5640329874966746,0.21010907156158554,0.30353817504655495,0.05038574088853418,0.0006384676775738228,0.0,-0.007942741549036958,0.0056560546636024445,-0.002111219151719017
CHE,1.5516185843676618,0.2029520295202952,0.0566085206306608,18794,18794,1.5434181121634565,0.5617218261147174,0.2077258699584974,0.29972331595189955,0.05427264020432053,0.0005320847078854954,0.0,-0.008200472204205278,0.004773840438202198,-0.002335880426340267
CHL,1.475703324808184,0.1961762609534191,0.0451553393987673,18797,18797,1.4683726126509549,0.5349789860084055,0.20162791934883226,0.2895142841942863,0.043836782465287015,0.0003723998510400596,0.0,-0.007330712157229025,0.005451658395413145,-0.0013185569334802846
CHN,1.659412997903564,0.2557651991614256,0.0487211740041928,18796,18796,1.6513087891040648,0.6160885294743562,0.26021493934879764,0.3077250478825282,0.04814854224303043,0.00015960842732496276,0.0,-0.008104208799499135,0.004449740187372042,-0.0005726317611623663
